Allele,AUC,PCC
DRB1_0101,0.8560293292576758,0.7213194161998465
DRB1_0102,1.0,0.9999999999999999
DRB1_0103,0.875,0.6024948132556827
DRB1_0301,0.85192972210055,0.6696679997238139
DRB1_0303,1.0,0.6315584534755296
DRB1_0401,0.8692744664360386,0.7288057251797051
DRB1_0402,0.7755102040816326,0.714447127536613
DRB1_0403,0.8333333333333333,0.7363636363636363
DRB1_0404,0.8763900421693612,0.7421898921076536
DRB1_0405,0.871215295234903,0.7370980454739909
DRB1_0701,0.9159425625920472,0.8194552453639589
DRB1_0801,0.8799291094373062,0.7770157364666034
DRB1_0802,0.8378782201405152,0.6886559258597738
DRB1_0901,0.8601667077276833,0.7240583565714054
DRB1_1001,0.9338461538461539,0.8227129236417287
DRB1_1101,0.885774667405765,0.7772729453082201
DRB1_1104,0.75,0.7181848464596079
DRB1_1201,0.8729432922629524,0.7253930826089454
DRB1_1301,0.9134082899815406,0.7740802753793697
DRB1_1302,0.8887946246776163,0.761287616147643
DRB1_1454,0.8755961844197138,0.7257742972239171
DRB1_1501,0.8605194704352216,0.7222334169421303
DRB1_1502,0.5555555555555556,-0.028571428571428574
DRB1_1602,0.8995810244627652,0.796579735017621
DRB3_0101,0.8978271078325865,0.7021610646609535
DRB3_0202,0.8731249873821493,0.69769141252157
DRB3_0301,0.8888130192329577,0.7947498190339155
DRB4_0101,0.8338080861118404,0.648311229507021
DRB5_0101,0.8827752938263693,0.7522495443046167
DRB5_0102,0.0,-0.5
H-2-IAb,0.8131944444444444,0.5793317424927681
H-2-IAd,0.7493670886075949,0.5723786580430326
H-2-IAs,0.8591954022988506,0.6907275719787523
H-2-IAu,1.0,0.9700772721497397
H-2-IEd,0.6285714285714286,0.42894651656425975
H-2-IEk,0.8,0.5281821114029991
HLA-DPA10103-DPB10201,0.9574203108742945,0.8973192123376496
HLA-DPA10103-DPB10301,0.8798348876318606,0.7349883519954051
HLA-DPA10103-DPB10401,0.9348216624873685,0.8436156486911308
HLA-DPA10103-DPB10402,0.8787878787878787,0.7186813186813187
HLA-DPA10103-DPB10601,0.9971466198419666,0.893679785173241
HLA-DPA10201-DPB10101,0.9223507382628879,0.8382023242615273
HLA-DPA10201-DPB10201,0.825,0.6501145912910617
HLA-DPA10201-DPB10501,0.9230816946839526,0.7789973477418299
HLA-DPA10201-DPB11401,0.9451180472188877,0.820233067208001
HLA-DPA10301-DPB10402,0.9490088054596946,0.8520391356515407
HLA-DQA10101-DQB10501,0.9309653480160394,0.8096305738529269
HLA-DQA10102-DQB10501,0.8127985919034448,0.6144361547971942
HLA-DQA10102-DQB10502,0.9383116883116883,0.7280247198185578
HLA-DQA10102-DQB10602,0.8686803214933887,0.7710717328830841
HLA-DQA10103-DQB10603,0.9008403361344537,0.5702950904036829
HLA-DQA10104-DQB10503,0.9123696816004508,0.7047907708887079
HLA-DQA10201-DQB10202,0.7847633136094675,0.6072460712004806
HLA-DQA10201-DQB10301,0.8380417335473515,0.6893434705813308
HLA-DQA10201-DQB10303,0.8635714285714284,0.7682263728150402
HLA-DQA10201-DQB10402,0.9088888888888889,0.8040376897804618
HLA-DQA10301-DQB10301,0.8916666666666666,0.6918496041339831
HLA-DQA10301-DQB10302,0.8841093117408907,0.7658954476007508
HLA-DQA10303-DQB10402,0.8727106227106227,0.6621699599007153
HLA-DQA10401-DQB10402,0.8454165589730336,0.7123589550645646
HLA-DQA10501-DQB10201,0.8830177854274239,0.786359595288291
HLA-DQA10501-DQB10301,0.9190066307630046,0.800751155366081
HLA-DQA10501-DQB10302,0.8334051724137931,0.6419458575781006
HLA-DQA10501-DQB10303,0.9126436781609195,0.8030416359160994
HLA-DQA10501-DQB10402,0.8979728224548897,0.782785183661338
HLA-DQA10601-DQB10402,0.8786549707602339,0.6857436644010728
AVG,0.859934868352476,0.7027387805357692
Standard deviations,0.12906506929219036,0.20000814911521264
P-value,0.9999999999999942,0.9999999999999987
