Allele,AUC,PCC
DRB1_0101,0.8566783103759171,0.7140389813754485
DRB1_0301,0.8393947061710221,0.6713093543903668
DRB1_0401,0.8305914453093652,0.6851018395253238
DRB1_0402,0.47619047619047616,0.20310096011589898
DRB1_0403,0.638888888888889,0.510989010989011
DRB1_0404,0.8908902941487195,0.7778305036121096
DRB1_0405,0.8691916125718022,0.732270975529349
DRB1_0701,0.8995852289570456,0.8090504527673216
DRB1_0801,0.8673767752715121,0.748472811331916
DRB1_0802,0.8510330689971408,0.6988794026920669
DRB1_0901,0.8611504515599344,0.7408253389048717
DRB1_1001,0.9632274780760033,0.8480612279032655
DRB1_1101,0.8816464515311778,0.7634791085565774
DRB1_1104,0.75,0.7289182663923711
DRB1_1201,0.863232458714058,0.7272327769473774
DRB1_1301,0.9410321563129764,0.8350003063118706
DRB1_1302,0.8776293456910197,0.7512743843060418
DRB1_1454,0.8836405529953917,0.749419791196384
DRB1_1501,0.8588608099489796,0.7278269590662758
DRB1_1502,0.0,-0.19999999999999998
DRB1_1602,0.9052212125726203,0.8246404459571787
DRB3_0101,0.8903981292577878,0.7233433768549954
DRB3_0202,0.8931820602961543,0.7506434867656058
DRB3_0301,0.8603846153846153,0.7545237112785804
DRB4_0101,0.8359866901883166,0.6947610361936726
DRB5_0101,0.9063892401252408,0.8043400078938837
DRB5_0102,1.0,1.0
H-2-IAb,0.8452633439377872,0.6676989800550891
H-2-IAd,0.8101945003353453,0.6351490933468348
H-2-IAk,0.8478260869565217,0.5720083041889752
H-2-IAs,0.8977272727272727,0.6605538718082185
H-2-IAu,1.0,0.6982532518267538
H-2-IEd,0.7514619883040936,0.5578824930736013
H-2-IEk,0.9,0.6007420973580313
HLA-DPA10103-DPB10201,0.9619998322288399,0.8855898389332908
HLA-DPA10103-DPB10301,0.883303556927075,0.7757408444853953
HLA-DPA10103-DPB10401,0.9381115751789976,0.8354584844400631
HLA-DPA10103-DPB10402,0.7619047619047619,0.07976060548818034
HLA-DPA10103-DPB10601,0.9996860282574569,0.8616529147729284
HLA-DPA10201-DPB10101,0.942513273066437,0.8590020786453703
HLA-DPA10201-DPB10201,0.7628205128205128,0.5352549423669077
HLA-DPA10201-DPB10501,0.92999307052664,0.8066793274615648
HLA-DPA10201-DPB11401,0.9298896368548794,0.8250715066881703
HLA-DPA10301-DPB10402,0.9263563402889246,0.859379980412764
HLA-DQA10101-DQB10501,0.9226527482896909,0.7939336085636727
HLA-DQA10102-DQB10501,0.8420441347270615,0.7000106038918107
HLA-DQA10102-DQB10502,0.8223026175782082,0.7273764984966525
HLA-DQA10102-DQB10602,0.9041931351091657,0.8144166792127981
HLA-DQA10103-DQB10603,0.8412698412698413,0.5846749587462742
HLA-DQA10104-DQB10503,0.7808380414312618,0.6709727998412326
HLA-DQA10201-DQB10202,0.8740721102863203,0.6115608299261946
HLA-DQA10201-DQB10301,0.8367125831914564,0.6518154186102996
HLA-DQA10201-DQB10303,0.903414450103754,0.8003920464813092
HLA-DQA10201-DQB10402,0.9443452380952381,0.7297707761895474
HLA-DQA10301-DQB10301,0.8698979591836734,0.7142394128997016
HLA-DQA10301-DQB10302,0.8576885039047846,0.7329479178220827
HLA-DQA10303-DQB10402,0.8703703703703702,0.6953918903176631
HLA-DQA10401-DQB10402,0.8628062919095068,0.7398747659261274
HLA-DQA10501-DQB10201,0.8882166900696842,0.7851090131252315
HLA-DQA10501-DQB10301,0.9323221300742033,0.8117168878548379
HLA-DQA10501-DQB10302,0.7869269949066214,0.6641687494846693
HLA-DQA10501-DQB10303,0.8006412124744973,0.7046612218370587
HLA-DQA10501-DQB10402,0.8511705685618729,0.7756273525179653
HLA-DQA10601-DQB10402,0.8376068376068376,0.6125194615636421
AVG,0.8517241671718088,0.7001936566487293
Standard deviations,0.1338182346939611,0.1773800774150408
P-value,1.0,0.9999999999999978
